term,term_frequency
ministry,118
dialect,118
manufacturing,118
round,117
striking,117
costliest,117
humid,117
contribution,117
1958,117
learning,117
empire,117
fund,117
rarely,116
salt,116
maintenance,116
recording,116
improve,116
experiment,116
importance,116
planets,116
express,116
revenue,116
elementary,116
gilbert,116
hospitals,116
dating,116
amounted,116
player,116
plays,115
respect,115
statistical,115
error,115
150,115
1959,115
concluded,115
decision,115
drive,115
mouth,115
grid,115
safe,115
hotel,115
presentation,115
sets,115
presented,115
55,115
alexander,115
devastated,115
keys,115
ranks,115
camille,115
males,115
renewable,115
canal,115
flowing,114
planetary,114
quantities,114
identity,114
reconstruction,114
evolution,114
handbook,114
inundated,114
simple,114
aspects,114
400,114
link,114
instruments,114
classic,114
immediate,114
decline,114
fires,114
turks,114
descent,114
gods,114
floor,114
drowned,114
architecture,114
yucatn,114
acts,113
outflow,113
coasts,113
west-northwest,113
legislation,113
oxygen,113
chosen,113
jim,113
probably,113
p.m,113
pv,113
troposphere,112
engineer,112
heights,112
modules,112
repair,112
grow,112
italian,112
italy,112
tourist,112
buried,112
mother,112
chemistry,112
representing,112
pronunciation,112
am,112
knocked,112
inhabitants,112
devices,112
betsy,112
ike,112
coach,112
equilibrium,111
balance,111
trends,111
software,111
jeff,111
retirement,111
items,111
exposed,111
technologies,111
payload,111
resistance,111
continent,111
forests,111
tribes,111
keith,111
del,111
flag,111
1933,111
wood,111
policies,111
civilian,111
carol,111
carter,111
sense,110
tends,110
indicates,110
closer,110
preliminary,110
intensify,110
mid-atlantic,110
acting,110
cycles,110
limits,110
biological,110
demand,110
author,110
stone,110
straight,110
character,110
medium,110
household,110
ivan,110
isbn,110
fallen,109
meteorologists,109
orbits,109
eva,109
1800,109
visit,109
strikes,109
kind,109
my,109
collapsed,109
question,109
strategic,109
ran,109
sugar,109
granted,109
voters,109
generate,108
enhanced,108
viewed,108
standing,108
flown,108
identify,108
say,108
read,108
featuring,108
exceed,108
visited,108
follow,108
host,108
processing,108
contained,108
cells,108
95,108
develops,108
why,108
displaced,108
douglas,108
technique,108
principles,108
britannica,108
thousand,108
17th,108
studio,108
presidents,108
crime,108
reserve,108
tour,108
format,108
undergraduate,108
pagasa,107
potentially,107
charged,107
whereas,107
flew,107
performing,107
telephone,107
heart,107
environments,107
exists,107
establishment,107
providence,107
tom,107
parties,107
berg,107
headed,107
virgin,107
immigration,107
issuing,106
depends,106
opposed,106
gauge,106
prepare,106
love,106
connects,106
orange,106
artists,106
3rd,106
numerical,106
conflict,106
16th,106
cotton,106
effectively,106
movie,106
son,106
peoples,106
myth,106
covering,105
kept,105
machine,105
grown,105
revised,105
occurrence,105
sixth,105
networks,105
dominion,105
46,105
1939,105
threatened,105
representation,105
jurisdiction,105
representatives,105
rotational,104
1947,104
apart,104
replace,104
brief,104
kauai,104
fewer,104
jonathan,104
mandatory,104
purpose,104
manned,104
array,104
blizzard,104
1949,104
containing,104
dominated,104
southward,104
novel,104
philip,104
concern,104
narrow,103
rainbands,103
specialized,103
eleven,103
documented,103
concentrations,103
classes,103
parameter,103
dependent,103
apparent,103
consecutive,103
protected,103
speak,103
unable,103
well-defined,103
47,103
users,103
summers,103
encyclopdia,103
perhaps,103
goods,103
career,103
haitian,103
geographical,102
holds,102
temporarily,102
funded,102
collected,102
clark,102
101,102
charts,102
proceedings,102
tried,102
montreal,102
luis,102
prices,102
file,102
declined,102
assumed,102
trading,102
extension,102
slavery,102
voted,102
inertial,102
kennedy,102
quite,101
corresponding,101
category2,101
convergence,101
chance,101
scholars,101
exceeding,101
describes,101
room,101
surf,101
56,101
face,101
utility,101
receives,101
federation,101
perpendicular,101
divisions,101
investigation,101
newton,101
roman,101
churches,101
wiley,101
double,101
taiwan,101
golden,101
merged,101
michelle,101
villages,101
harvard,101
theatre,101
reducing,100
exceeded,100
signals,100
artist,100
originated,100
storage,100
cultures,100
acids,100
price,100
match,100
confused,100
zeus,100
updraft,100
steel,100
racial,100
congressional,100
consider,99
twelve,99
shifted,99
dance,99
northwestward,99
usgs,99
memorandum,99
inhabited,99
shared,99
request,99
extending,99
surfaces,99
possibility,99
hazard,99
device,99
scheme,99
column,99
doppler,99
1956,99
finished,99
coordination,99
visual,99
proportional,99
thermodynamics,99
honolulu,99
49,99
hispanic,99
manila,99
clockwise,98
orbiting,98
patricia,98
curved,98
tidal,98
shot,98
detection,98
proximity,98
wikipedia,98
cell,98
fossil,98
formally,98
fuels,98
split,98
160km,98
ranking,98
irene,98
nrl,98
championships,98
layers,97
attempted,97
practical,97
revealed,97
roberts,97
43,97
detroit,97
statement,97
exploration,97
ones,97
functions,97
requested,97
quarter,97
contract,97
shut,97
barometric,97
justice,97
temperate,97
writers,97
animal,97
victory,97
millimetres,97
focused,97
clean,97
corn,97
details,97
lane,97
60mph,97
enter,97
borders,97
theater,97
decreases,96
characteristic,96
disease,96
lie,96
gray,96
cs1,96
detect,96
positions,96
affects,96
felt,96
lewis,96
indicating,96
papers,96
extend,96
farm,96
win,96
flat,96
allied,96
none,96
1946,96
freedom,96
vorticity,96
coordinate,96
weekly,96
sunlight,95
ongoing,95
85,95
periphery,95
reviews,95
4th,95
characters,95
filled,95
transported,95
connection,95
woman,95
respective,95
shallow,95
latest,95
spending,95
landslides,95
destination,95
professor,95
1953,95
faculty,95
taipei,95
votes,95
blowing,94
diagram,94
cyclogenesis,94
unless,94
predictions,94
trajectory,94
1938,94
producer,94
metal,94
shores,94
know,94
integrated,94
alongside,94
seat,94
travels,94
spoke,94
faster,94
exact,94
darwin,94
humanitarian,94
melting,94
42,94
asked,94
un,94
issn,94
authorized,94
winning,94
directions,93
indirect,93
attempts,93
blow,93
favor,93
plus,93
54,93
surpassed,93
declaration,93
exception,93
traditions,93
farmers,93
planes,93
advised,93
races,93
adam,93
male,93
newfoundland,93
capita,93
criticized,93
ncaa,93
evaporation,92
altitudes,92
understood,92
survive,92
artificial,92
gustav,92
hugh,92
iv,92
emily,92
52,92
q,92
entertainment,92
newmarket,92
fast,92
existed,92
casualties,92
rockets,92
partly,92
departure,92
calendar,92
attention,92
supporting,92
organisation,92
mechanics,92
scales,92
alaska,92
geology,92
regardless,92
influences,92
traditionally,92
sought,92
concerns,92
hotels,92
walker,92
supercell,92
drawn,92
portugal,92
120,92
blocked,92
fl,92
max,92
blacks,92
northeastward,92
purchased,92
constitutional,92
collapse,91
loop,91
shifts,91
consistent,91
composition,91
ca,91
neal,91
hockey,91
1952,91
platform,91
comprehensive,91
patrick,91
conventional,91
virtually,91
establish,91
beneath,91
captured,91
camp,91
persons,91
demographics,91
predict,90
ad,90
films,90
sam,90
surrounded,90
owners,90
yellow,90
varying,90
situ,90
fresh,90
flora,90
furthermore,90
initiated,90
monitor,90
claim,90
buses,90
cited,90
ruled,90
newspapers,90
guatemala,90
erika,90
delray,90
depressions,89
devastating,89
mentioned,89
mature,89
westerly,89
contribute,89
easterly,89
spot,89
rappaport,89
1st,89
1936,89
grounds,89
landed,89
centres,89
craft,89
maintaining,89
context,89
mild,89
francis,89
creates,89
specified,89
elizabeth,89
transmission,89
volumes,89
obtained,89
traveled,89
allies,89
poverty,89
cangialosi,89
departments,89
avenue,89
nassau,89
redirects,88
87,88
essential,88
tomb,88
barrier,88
seventh,88
detected,88
join,88
child,88
mechanisms,88
navigation,88
categories,88
kenneth,88
thick,88
fairly,88
pole,88
distances,88
recreation,88
drops,88
accidents,88
fiction,88
1930s,88
uprooted,88
driving,88
vs,88
a.m,88
resource,88
statewide,88
2010-11-29,88
vulnerable,87
1000,87
drier,87
emanuel,87
condensation,87
stranded,87
burning,87
regarded,87
caught,87
societies,87
probability,87
kimberlain,87
americas,87
sons,87
iris,87
document,87
1944,87
minority,87
singer,87
speech,87
hard,87
submitted,87
steady,87
cast,87
presidency,87
enforcement,87
banana,87
cayman,87
circle,86
friction,86
lifted,86
high-pressure,86
pilots,86
facts,86
santa,86
anne,86
treatment,86
anticipated,86
paid,86
birth,86
reflected,86
award,86
looking,86
colorado,86
projections,86
desert,86
condition,86
advantage,86
prompted,86
howard,86
100mph,86
1932,86
180,86
recommended,86
torque,86
georges,86
parcel,85
experiences,85
reliable,85
1942,85
rescued,85
41,85
me,85
vessel,85
send,85
glass,85
alan,85
evolved,85
wildlife,85
outbreak,85
stories,85
danger,85
suburbs,85
51,85
ideal,85
survivors,85
cooperation,85
attacks,85
jefferson,85
europeans,85
proposal,85
participate,85
chain,85
arthur,84
equipped,84
3,000,84
sensors,84
spectrum,84
inlet,84
queen,84
attached,84
perform,84
resident,84
consisted,84
ida,84
manual,84
showers,84
session,84
intensifying,84
ending,84
begun,84
regime,84
contributions,84
count,84
queensland,84
250,84
1928,84
1861,84
crisis,84
himself,84
establishing,84
populous,84
janet,84
ast,84
solution,83
thermodynamic,83
mechanism,83
contributing,83
neither,83
40mph,83
illustrated,83
cup,83
24hours,83
ready,83
gross,83
pure,83
ma,83
achieve,83
synoptic,83
remainder,83
accumulation,83
mid-level,83
exactly,83
dan,83
1948,83
export,83
conservative,83
charley,83
vietnam,83
heaviest,82
vicinity,82
things,82
proportion,82
jason,82
wrestling,82
entry,82
competition,82
stores,82
vermont,82
incorporates,82
arm,82
partnership,82
mounted,82
remove,82
arms,82
dioxide,82
restore,82
delayed,82
thin,82
triggered,82
hills,82
louis,82
diversity,82
slight,82
ends,82
tied,82
collectively,82
scattered,82
prevented,82
warfare,82
registered,82
contour,82
freight,82
your,82
players,82
bar,82
entropy,82
95km,82
consequently,81
ring,81
smallest,81
kg,81
termed,81
lasting,81
forbes,81
volcanic,81
retained,81
risks,81
voting,81
happened,81
80km,81
markets,81
coldest,81
anthony,81
fought,81
survived,81
shoreline,81
print,81
2008-12-27,81
5,000,81
huge,81
told,81
nationwide,81
coral,81
anemometer,81
whites,81
editor,81
gazette,81
imd,81
write,81
eligible,81
senior,81
confederate,81
democrats,81
outward,80
sphere,80
approaches,80
traveling,80
kent,80
benefits,80
add,80
cancelled,80
gain,80
space.com,80
register,80
visibility,80
abandoned,80
symbol,80
2,000,80
apply,80
define,80
500,000,80
practices,80
supercells,80
1.5,80
downgraded,80
burned,80
railroads,80
jackson,80
copies,80
judicial,80
ksc,80
leaves,79
evacuees,79
freshwater,79
scientist,79
azores,79
z,79
roots,79
wilmington,79
says,79
cruise,79
element,79
purchase,79
lift,79
appropriate,79
telegraph,79
mesoscale,79
cumulonimbus,79
speaking,79
wife,79
manner,79
description,79
interests,79
hits,79
en,79
proper,79
myths,79
gordon,79
exports,79
employment,79
criminal,79
coffee,79
disrupted,78
suggest,78
substance,78
destroying,78
chronicle,78
dorst,78
knabb,78
hunters,78
solutions,78
pop,78
repairs,78
intergovernmental,78
slowed,78
programmes,78
ensure,78
closest,78
unusually,78
miller,78
185km,78
stan,78
topography,78
ecosystems,78
employed,78
mathematical,78
nicholas,78
princeton,78
scene,78
promote,78
overnight,78
topics,78
atlas,78
conversion,78
stopped,78
stop,78
trying,78
leadership,78
carrier,78
sum,77
65km,77
modeling,77
simon,77
look,77
address,77
dams,77
jeffrey,77
ny,77
cbs,77
moore,77
115mph,77
principle,77
versus,77
programming,77
oklahoma,77
colonists,77
liberal,77
53,77
tim,77
ian,77
resort,77
restoration,77
investment,77
cuisine,77
lewes,77
latent,76
formula,76
disorganized,76
goes,76
200,000,76
orders,76
movements,76
adding,76
picture,76
monitored,76
carries,76
partial,76
ireland,76
farms,76
le,76
got,76
paris,76
succeeded,76
obtain,76
transitioned,76
squadron,76
collections,76
defeat,76
waterfront,76
span,75
unstable,75
deadly,75
hypothesis,75
intervals,75
oceanography,75
floyd,75
expand,75
fine,75
walls,75
110,75
joe,75
printing,75
austin,75
pushed,75
vital,75
poorly,75
simultaneously,75
arabian,75
tokyo,75
approval,75
two-thirds,75
diane,75
candidate,75
degenerated,75
registration,75
monument,75
absolute,74
involves,74
etymology,74
grace,74
something,74
generators,74
magnetic,74
hydrogen,74
hub,74
moment,74
tools,74
tested,74
doing,74
bases,74
trail,74
rocks,74
donald,74
diseases,74
larry,74
breaking,74
meanwhile,74
nacional,74
1937,74
2009-01-02,74
weapon,74
elevations,74
initiative,74
p.4,74
5th,74
msa,74
petersburg,74
romney,74
calm,73
lose,73
67,73
experts,73
liu,73
choice,73
mars,73
segment,73
ams,73
opportunities,73
50,000,73
helicopter,73
refused,73
photo,73
category1,73
circumstances,73
devil,73
ecosystem,73
marshall,73
wiktionary,73
equations,73
stock,73
outdoor,73
emerging,73
recovered,73
netherlands,73
considerably,73
overseas,73
beaufort,73
embedded,73
linear,73
jennifer,73
82,73
matt,73
57,73
confidence,73
volunteers,73
busiest,73
coins,73
prince,73
treaty,73
explorer,73
occupation,73
texts,73
frances,73
sister,73
surroundings,72
stadium,72
substantially,72
treated,72
steering,72
depend,72
6,000,72
delivery,72
corporate,72
demolished,72
thirteen,72
100km,72
baikonur,72
fundamental,72
heads,72
anderson,72
consist,72
faq,72
130,72
minute,72
frozen,72
underground,72
bruce,72
reflect,72
utilities,72
tobacco,72
wilson,72
powered,72
strategy,72
sounds,72
debate,72
plate,72
criticism,72
du,72
fisheries,72
plot,72
robbie,72
photovoltaic,72
reunion,72
ioke,72
museums,72
elena,72
uw,72
wmata,72
clearly,71
regularly,71
accuracy,71
classifications,71
identification,71
totaling,71
globally,71
66,71
sediment,71
tops,71
pier,71
mount,71
dark,71
filmed,71
proved,71
stored,71
awards,71
wayne,71
63,71
downwind,71
translated,71
birds,71
melbourne,71
averages,71
donna,71
p.3,71
representative,71
operators,71
designation,71
hands,71
posted,71
kate,71
nabi,71
fishermen,71
senator,71
descendants,71
fiscal,71
plantations,71
non-hispanic,71
charleston,71
golf,71
2012-10-29,71
digit,71
gannett,71
cv-440,71
continents,70
mixing,70
dramatic,70
vortices,70
greg,70
1943,70
underwent,70
platforms,70
installation,70
participated,70
